author,title,study_type,study_duration,season,study_years,location,parameter_name,parameter_origin,parameter_unit,sample_size,parameter_lifestage,parameter_value,informationCategory,submechanism,type,name
Walsh et al. (2020),flexibility in antarctic krill euphausia superba decouples diet and recruitment from overwinter sea-ice conditions in the northern antarctic peninsula,observation,years,spring,2013-2016,Antarctic Peninsula,Mean larvae percent lipid 2013,Pooled samples for lipid and fatty acid analysis,percent,2,larvae,14.7,"parameter, validation",overwintering,state_var,tissue_reserves_lipids
Walsh et al. (2020),flexibility in antarctic krill euphausia superba decouples diet and recruitment from overwinter sea-ice conditions in the northern antarctic peninsula,observation,years,spring,2013-2016,Antarctic Peninsula,Mean larvae percent lipid 2014,Pooled samples for lipid and fatty acid analysis,percent,9,larvae,4.3,"parameter, validation",overwintering,state_var,tissue_reserves_lipids
Walsh et al. (2020),flexibility in antarctic krill euphausia superba decouples diet and recruitment from overwinter sea-ice conditions in the northern antarctic peninsula,observation,years,spring,2013-2016,Antarctic Peninsula,Mean larvae percent lipid 2015,Pooled samples for lipid and fatty acid analysis,percent,15,larvae,6.7,"parameter, validation",overwintering,state_var,tissue_reserves_lipids
Walsh et al. (2020),flexibility in antarctic krill euphausia superba decouples diet and recruitment from overwinter sea-ice conditions in the northern antarctic peninsula,observation,years,spring,2013-2016,Antarctic Peninsula,Mean larvae percent lipid 2016,Pooled samples for lipid and fatty acid analysis,percent,18,larvae,6.2,"parameter, validation",overwintering,state_var,tissue_reserves_lipids
"Meyer, B. and Pogoda, B. (2005)",effects of short-term starvation on composition and metabolism of larval antarctic krill euphausia superba,observation,days,autumn,2005,Bellinghausen Sea,CarbonIntake,observation,gC gBodyC-1 d-1,30,larvae,13,parameter,overwintering,function,ingestion
"Frazer, T. K (2002)","energetic demands of larval krill, euphausia superba, in winter",observation,months,winter,1993,Antarctic Peninsula,carbonMetabolismFed,conversion,gC gBodyC-1 d-1,NA,larvae,1.34,"parameter, validation",overwintering,function,maintenance _respiration
"Frazer, T. K (2002)","energetic demands of larval krill, euphausia superba, in winter",observation,months,winter,1993,Antarctic Peninsula,carbonMetabolismFed,conversion,gC gBodyC-1 d-1,NA,larvae,1.34,"parameter, validation",overwintering,function,maintenance _respiration
"Frazer, T. K (2002)","energetic demands of larval krill, euphausia superba, in winter",observation,months,winter,1993,Antarctic Peninsula,carbonMetabolismStarved,conversion,gC gBodyC-1 d-1,NA,larvae,0.67,"parameter, validation",overwintering,function,maintenance _respiration
"Frazer, T. K (2002)","energetic demands of larval krill, euphausia superba, in winter",observation,months,winter,1993,Antarctic Peninsula,carbonMetabolismStarved,conversion,gC gBodyC-1 d-1,NA,larvae,0.67,"parameter, validation",overwintering,function,maintenance _respiration
"Frazer, T. K (2002)","energetic demands of larval krill, euphausia superba, in winter",observation,months,winter,1993,Antarctic Peninsula,carbonMetabolismFed,conversion,gC gBodyC-1 d-1,NA,larvae,1.8,"parameter, validation",overwintering,function,maintenance _respiration
